Gene stable ID	Chromosome/scaffold name	Gene name	Gene type	Gene start (bp)	Gene end (bp)
ENSG00000200763	2	RNU6-961P	snRNA	20175805	20175909
ENSG00000275931	CHR_HSCHR19LRC_PGF2_CTG3_1	GP6	protein_coding	54751499	54776058
ENSG00000222394	2	RF00019	misc_RNA	137715332	137715440
ENSG00000262776	CHR_HSCHR12_1_CTG2_1	RN7SKP65	misc_RNA	57977965	57978277
ENSG00000252978	X	RN7SKP183	misc_RNA	20452108	20452431
ENSG00000200761	4	RN7SKP113	misc_RNA	4920770	4921064
ENSG00000274755	9	RF00004	snRNA	115734392	115734491
ENSG00000281112	1	AL355480.2	pseudogene	45592722	45592814
ENSG00000223302	10	RF00019	misc_RNA	110642678	110642785
ENSG00000201405	1	RF00019	misc_RNA	23370254	23370346
ENSG00000281369	4	AC093826.2	pseudogene	129041766	129041877
ENSG00000201330	6	SNORD32B	snoRNA	29582249	29582332
ENSG00000212383	12	RF00554	snoRNA	56861375	56861508
ENSG00000283789	1	MIR7846	miRNA	12166943	12167038
ENSG00000221545	1	MIR1255B2	miRNA	167998660	167998726
ENSG00000251990	5	RNA5SP180	rRNA_pseudogene	17156971	17157071
ENSG00000207360	9	RNU6-14P	snRNA	15776181	15776286
ENSG00000266203	1	MIR5585	miRNA	32086949	32087007
ENSG00000221390	1	MIR1295A	miRNA	171101728	171101806
ENSG00000283527	20	RF00026	snRNA	35769785	35769867
ENSG00000274978	1	RNU11	snRNA	28648600	28648733
ENSG00000263908	1	MIR3116-1	miRNA	62078786	62078859
ENSG00000207590	1	MIR215	miRNA	220117853	220117962
ENSG00000275293	22	RF00017	misc_RNA	21555138	21555457
ENSG00000243125	2	RN7SL807P	misc_RNA	223248498	223248794
ENSG00000283676	1	MIR5087	miRNA	148334479	148334554
ENSG00000265372	10	MIR4675	miRNA	20551970	20552046
ENSG00000199676	20	RF00019	misc_RNA	35853252	35853364
ENSG00000212302	14	RF00588	snoRNA	22756761	22756829
ENSG00000266041	11	MIR4690	miRNA	65636310	65636369
ENSG00000283881	1	MIR3916	miRNA	247201967	247202060
ENSG00000276363	CHR_HSCHR19LRC_LRC_J_CTG3_1	VSTM1	protein_coding	54040833	54063953
ENSG00000284155	11	MIR194-2	miRNA	64891355	64891439
ENSG00000221788	12	MIR1252	miRNA	79419257	79419321
ENSG00000202392	4	RN7SKP292	misc_RNA	6997012	6997328
ENSG00000241552	5	RN7SL58P	misc_RNA	18547312	18547605
ENSG00000283326	11	MIR6860	miRNA	67045643	67045708
ENSG00000273778	14	MIR6765	miRNA	105150778	105150864
ENSG00000212206	17	RF00265	snoRNA	8329583	8329719
ENSG00000276640	CHR_HSCHR6_MHC_MCF_CTG1	RF02219	misc_RNA	30136615	30136690
ENSG00000283744	11	MIR6755	miRNA	86278333	86278398
ENSG00000275063	KI270726.1	AC233755.1	protein_coding	41444	41876
ENSG00000267195	17	MIR212	miRNA	2050271	2050380
ENSG00000238906	7	RF01210	snoRNA	29912528	29912632
ENSG00000283818	12	MIR7844	miRNA	94571231	94571352
ENSG00000199368	8	RNU6-1084P	snRNA	11392411	11392517
ENSG00000207996	17	MIR301A	miRNA	59151136	59151221
ENSG00000266228	10	MIR3611	miRNA	35079598	35079680
ENSG00000252755	8	RNU6-703P	snRNA	98048856	98048962
ENSG00000207622	12	MIR619	miRNA	108836908	108837006
ENSG00000264060	17	MIR4316	miRNA	77396984	77397054
ENSG00000251706	16	RNU7-61P	snRNA	30483135	30483195
ENSG00000274770	11	MIR6128	miRNA	56743873	56743981
ENSG00000207788	19	MIR519C	miRNA	53686469	53686555
ENSG00000251785	1	RNA5SP20	rRNA_pseudogene	77614869	77614952
ENSG00000265291	14	MIR4710	miRNA	104677694	104677749
ENSG00000276746	6	RF00017	misc_RNA	33562880	33563130
ENSG00000207579	16	MIR662	miRNA	770183	770277
ENSG00000265539	11	MIR3164	miRNA	69083176	69083258
ENSG00000207634	19	MIR521-1	miRNA	53748636	53748722
ENSG00000199550	11	RF00019	misc_RNA	2372638	2372750
ENSG00000283469	2	MIR3130-1	miRNA	206783234	206783308
ENSG00000284148	11	MIR6756	miRNA	119312950	119313012
ENSG00000277521	18	MIR8078	miRNA	112256	112339
ENSG00000251831	6	RNU6-1114P	snRNA	16205014	16205120
ENSG00000261867	CHR_HSCHR12_3_CTG2_1	RF00026	snRNA	101205448	101205554
ENSG00000264793	2	MIR4771-1	miRNA	87194786	87194859
ENSG00000221430	5	MIR1294	miRNA	154347106	154347247
ENSG00000263581	13	MIR548X2	miRNA	65966330	65966429
ENSG00000239580	8	RN7SL675P	misc_RNA	69922751	69923047
ENSG00000199575	14	SNORD114-1	snoRNA	100949833	100949904
ENSG00000265003	2	MIR4780	miRNA	88082519	88082599
ENSG00000264056	6	MIR5685	miRNA	53276993	53277071
ENSG00000211591	16	MIR762	miRNA	30893903	30893985
ENSG00000280514	CHR_HSCHR5_2_CTG1_1	AC142525.4	protein_coding	69557495	69559073
ENSG00000278770	17	RF00017	misc_RNA	45526466	45526746
ENSG00000263453	20	AL162291.1	miRNA	57895394	57895444
ENSG00000274396	7	RF01978	misc_RNA	27099856	27099957
ENSG00000264474	7	MIR4656	miRNA	4788565	4788639
ENSG00000284082	22	MIR7109	miRNA	31621467	31621531
ENSG00000263785	16	MIR3182	miRNA	83508346	83508408
ENSG00000207123	17	RF00019	misc_RNA	62122320	62122421
ENSG00000242065	X	RN7SL291P	misc_RNA	44772773	44773061
ENSG00000208036	7	MIR106B	miRNA	100093993	100094074
ENSG00000278596	1	MIR6077	miRNA	148388282	148388363
ENSG00000283772	17	MIR6778	miRNA	18340814	18340886
ENSG00000201628	6	RNU4-7P	snRNA	150326623	150326763
ENSG00000265810	7	MIR3907	miRNA	151433489	151433639
ENSG00000207922	3	AC104450.1	miRNA	50173326	50173419
ENSG00000283799	1	MIR1182	miRNA	231019828	231019924
ENSG00000207641	X	MIR510	miRNA	147272335	147272408
ENSG00000283853	17	MIR4738	miRNA	75784521	75784607
ENSG00000212460	5	RNU6-460P	snRNA	138116573	138116680
ENSG00000264572	10	MIR4296	miRNA	125032783	125032870
ENSG00000221265	4	MIR1255A	miRNA	101330302	101330414
ENSG00000206693	X	SNORA56	snoRNA	154774998	154775126
ENSG00000277784	17	MIR6786	miRNA	81693757	81693869
ENSG00000265874	11	MIR4489	miRNA	65649192	65649253
ENSG00000242668	19	RN7SL317P	misc_RNA	53629713	53630041
ENSG00000264233	5	MIR4456	miRNA	535840	535882
ENSG00000277588	19	MIR6806	miRNA	58334688	58334751
ENSG00000200480	14	SNORD114-28	snoRNA	100989130	100989201
ENSG00000275022	11	MIR6753	miRNA	68044794	68044957
ENSG00000252503	4	RNU6-531P	snRNA	139055475	139055578
ENSG00000265507	2	MIR4435-1	miRNA	87629755	87629834
ENSG00000264536	5	MIR5706	miRNA	119154637	119154716
ENSG00000243352	7	RN7SL8P	misc_RNA	104911928	104912193
ENSG00000212102	22	MIR301B	miRNA	21652981	21653058
ENSG00000264387	13	MIR5007	miRNA	55174454	55174548
ENSG00000284325	5	MIR3655	miRNA	140647844	140647926
ENSG00000266870	CHR_HSCHR6_MHC_SSTO_CTG1	RF00026	snRNA	28916503	28916602
ENSG00000199102	4	MIR302C	miRNA	112648363	112648430
ENSG00000264910	19	RN7SL525P	misc_RNA	58543299	58543578
ENSG00000199047	5	MIR378A	miRNA	149732825	149732890
ENSG00000283783	13	MIR622	miRNA	90231182	90231277
ENSG00000264274	4	MIR4799	miRNA	147782595	147782668
ENSG00000201498	20	RF00019	misc_RNA	34384165	34384265
ENSG00000266589	15	MIR4512	miRNA	66496958	66497034
ENSG00000277551	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	RF00026	snRNA	54913656	54913762
ENSG00000284256	6	MIR5004	miRNA	33438331	33438437
ENSG00000274494	6	MIR6832	miRNA	31633787	31633858
ENSG00000200564	15	SNORD115-39	snoRNA	25241746	25241827
ENSG00000265444	17	MIR4733	miRNA	31094350	31094425
ENSG00000264773	1	MIR4420	miRNA	30739156	30739232
ENSG00000207691	7	MIR183	miRNA	129774905	129775014
ENSG00000253038	18	RNU6-706P	snRNA	39034007	39034110
ENSG00000284067	7	MIR6837	miRNA	44051766	44051829
ENSG00000221680	1	MIR1278	miRNA	193136503	193136583
ENSG00000222118	20	RNA5SP487	rRNA_pseudogene	56205052	56205173
ENSG00000207935	9	MIR204	miRNA	70809975	70810084
ENSG00000274054	17	MIR4727	miRNA	38825838	38825892
ENSG00000202532	2	RNU6-395P	snRNA	127845236	127845341
ENSG00000283523	8	MIR3926-2	miRNA	12727237	12727299
ENSG00000221269	9	MIR1302-8	miRNA	97363554	97363681
ENSG00000206841	22	RNU6-409P	snRNA	50691260	50691363
ENSG00000283218	18	MIR302F	miRNA	30298910	30298960
ENSG00000241964	8	RN7SL135P	misc_RNA	63234634	63234911
ENSG00000263861	9	MIR3927	miRNA	109511475	109511545
ENSG00000202566	X	MIR421	miRNA	74218377	74218461
ENSG00000207585	19	MIR181D	miRNA	13874875	13875011
ENSG00000238374	5	RNU7-180P	snRNA	146245191	146245253
ENSG00000263600	X	MIR3915	miRNA	32583656	32583752
ENSG00000241229	20	RN7SL443P	misc_RNA	44007248	44007537
ENSG00000277942	13	MIR8075	miRNA	113262920	113262999
ENSG00000266559	19	MIR4530	miRNA	39409623	39409678
ENSG00000240294	10	RN7SKP241	misc_RNA	24908522	24908812
ENSG00000211538	X	MIR501	miRNA	50009722	50009805
ENSG00000276178	7	RF00019	misc_RNA	72983360	72983461
ENSG00000207742	14	MIR487A	miRNA	101052446	101052525
ENSG00000207598	20	MIR124-3	miRNA	63178500	63178586
ENSG00000275696	3	RF00017	misc_RNA	186629936	186630211
ENSG00000265789	X	MIR4330	miRNA	151168222	151168326
ENSG00000264722	16	MIR3670-2	miRNA	16306370	16306434
ENSG00000200636	14	SNORD114-27	snoRNA	100988161	100988230
ENSG00000252151	1	RNU6-1265P	snRNA	14124233	14124335
ENSG00000264534	3	MIR378B	miRNA	10330229	10330285
ENSG00000266426	16	MIR4719	miRNA	76868936	76869019
ENSG00000222592	4	RNU6-887P	snRNA	39399149	39399248
ENSG00000272113	9	RF00019	misc_RNA	32820261	32820350
ENSG00000278103	3	MIR8060	miRNA	96359964	96360039
ENSG00000283774	17	MIR632	miRNA	32350109	32350202
ENSG00000222213	5	RNU6-588P	snRNA	149606637	149606741
ENSG00000275362	22	RF00017	misc_RNA	18615581	18615900
ENSG00000252542	9	SNORD36C	snoRNA	133350847	133350912
ENSG00000284453	18	MIR1-2	miRNA	21829004	21829088
ENSG00000283207	4	MIR1255B1	miRNA	36426366	36426428
ENSG00000252231	1	RNA5SP67	rRNA_pseudogene	173921070	173921200
ENSG00000284331	18	MIR4741	miRNA	22933349	22933438
ENSG00000252021	20	RF00019	misc_RNA	45004348	45004454
ENSG00000252657	17	RF00156	snoRNA	29777619	29777744
ENSG00000266270	4	AC098818.3	miRNA	78820752	78820821
ENSG00000238426	X	RF00019	misc_RNA	41316488	41316589
ENSG00000277759	19	MIR6719	miRNA	39829716	39829802
ENSG00000199017	20	MIR1-1	miRNA	62554306	62554376
ENSG00000239008	X	RF01225	snoRNA	80857076	80857202
ENSG00000206654	1	RNU6-608P	snRNA	39120940	39121043
ENSG00000199036	6	MIR219A1	miRNA	33207835	33207944
ENSG00000252262	1	RNA5SP61	rRNA_pseudogene	162338643	162338742
ENSG00000283513	20	MIR941-3	miRNA	63919561	63919632
ENSG00000241785	12	RN7SL390P	misc_RNA	54255627	54255910
ENSG00000221305	8	MIR548I3	miRNA	8088941	8089089
ENSG00000212199	2	RNU6-127P	snRNA	131229607	131229713
ENSG00000274709	7	RF01778	misc_RNA	97013925	97014066
ENSG00000212344	3	RNU6-823P	snRNA	128141875	128141977
ENSG00000276890	3	RF00017	misc_RNA	72926955	72927237
ENSG00000199177	9	MIR31	miRNA	21512115	21512185
ENSG00000206606	5	RNU6-1296P	snRNA	51167541	51167647
ENSG00000251873	5	RNA5SP182	rRNA_pseudogene	51886688	51886769
ENSG00000207026	12	RNU6-472P	snRNA	33923374	33923480
ENSG00000242985	18	RN7SL50P	misc_RNA	8471831	8472128
ENSG00000266855	9	MIR3910-1	miRNA	91636251	91636361
ENSG00000252441	X	RF00264	snoRNA	115545637	115545717
ENSG00000221039	22	MIR1286	miRNA	20249134	20249211
ENSG00000252903	X	RNU6-894P	snRNA	31348192	31348296
ENSG00000221737	3	MIR548I1	miRNA	125790404	125790552
ENSG00000264823	9	MIR3154	miRNA	128244947	128245030
ENSG00000200786	7	RNA5SP234	rRNA_pseudogene	79654109	79654227
ENSG00000243702	20	RN7SL638P	misc_RNA	18592330	18592619
ENSG00000200998	4	RF00019	misc_RNA	78632273	78632385
ENSG00000212370	5	RNU6-482P	snRNA	112778363	112778469
ENSG00000283792	4	MIR4453	miRNA	152536428	152536516
ENSG00000221466	X	MIR548AJ2	miRNA	38023895	38023986
ENSG00000252103	20	RNU6-917P	snRNA	1529056	1529159
ENSG00000201610	2	RNA5SP84	rRNA_pseudogene	11517397	11517503
ENSG00000265527	6	MIR5690	miRNA	35664717	35664789
ENSG00000252115	7	RF00019	misc_RNA	116909877	116909964
ENSG00000200924	2	RNU6-1048P	snRNA	43892690	43892796
ENSG00000207827	6	MIR30A	miRNA	71403551	71403621
ENSG00000211583	X	MIR767	miRNA	152393421	152393529
ENSG00000201162	3	RNU6-454P	snRNA	15339749	15339855
ENSG00000222795	8	RNU4-83P	snRNA	100831728	100831860
ENSG00000199085	7	MIR148A	miRNA	25949919	25949986
ENSG00000207046	14	RNU6-886P	snRNA	37434469	37434573
ENSG00000206613	4	RNU6-1336P	snRNA	168686608	168686716
ENSG00000199831	1	RN7SKP291	misc_RNA	55376526	55376852
ENSG00000284176	7	MIR5090	miRNA	102465742	102465826
ENSG00000207474	13	RNY1P7	misc_RNA	24703556	24703665
ENSG00000276956	12	RN7SL769P	misc_RNA	110360452	110360746
ENSG00000274988	8	MIR6876	miRNA	25345402	25345474
ENSG00000200278	11	RNA5SP352	rRNA_pseudogene	124636459	124636592
ENSG00000202255	20	RF00019	misc_RNA	36668559	36668670
ENSG00000242118	2	RN7SL201P	misc_RNA	81967079	81967374
ENSG00000252517	2	RF00273	snoRNA	194664107	194664174
ENSG00000253051	13	RF00322	snoRNA	45336314	45336447
ENSG00000263972	X	MIR1587	miRNA	39837561	39837613
ENSG00000275808	16	RF00017	misc_RNA	59004213	59004494
ENSG00000251892	8	RNU7-84P	snRNA	106729795	106729856
ENSG00000206703	4	RNU6-128P	snRNA	158794590	158794696
ENSG00000201247	14	SNORD114-13	snoRNA	100969879	100969952
ENSG00000252313	9	RNA5SP281	rRNA_pseudogene	32293558	32293692
ENSG00000277081	12	RF01971	misc_RNA	97564174	97564327
ENSG00000200283	2	RF00019	misc_RNA	28972414	28972521
ENSG00000277985	17	SNORA67	snoRNA	7577955	7578091
ENSG00000240302	2	RN7SL717P	misc_RNA	199901081	199901377
ENSG00000199773	5	RNU1-76P	snRNA	7980146	7980304
ENSG00000211578	X	MIR766	miRNA	119646738	119646848
ENSG00000222515	6	RN7SKP240	misc_RNA	22085544	22085918
ENSG00000206585	1	RNVU1-7	snRNA	148038753	148038916
ENSG00000273566	10	RF00017	misc_RNA	21455236	21455515
ENSG00000201483	6	RF00019	misc_RNA	7187582	7187686
ENSG00000252847	9	RNU2-46P	snRNA	95859904	95860016
ENSG00000242014	6	RN7SL26P	misc_RNA	33540694	33541000
ENSG00000212598	3	RF00012	snoRNA	90030284	90030495
ENSG00000200003	2	RNU6-986P	snRNA	27475494	27475595
ENSG00000239607	17	RN7SL573P	misc_RNA	75041740	75042015
ENSG00000221363	18	RNU6ATAC20P	snRNA	22130603	22130729
ENSG00000241757	14	RN7SL714P	misc_RNA	98351367	98351664
ENSG00000275660	CHR_HSCHR11_1_CTG7	AC001228.1	misc_RNA	2871423	2871484
ENSG00000277233	13	RF00017	misc_RNA	48429269	48429554
ENSG00000274754	CHR_HSCHR17_1_CTG5	RF00019	misc_RNA	45881211	45881312
ENSG00000265319	10	RN7SL847P	misc_RNA	33034655	33034924
ENSG00000200028	2	RNA5SP98	rRNA_pseudogene	76772909	76773045
ENSG00000201346	20	RF00012	snoRNA	3384229	3384440
ENSG00000252284	18	SNORA108	snoRNA	58600631	58600698
ENSG00000201616	11	RNU1-91P	snRNA	3048359	3048521
ENSG00000201382	12	RNU6-558P	snRNA	116782105	116782208
ENSG00000200152	11	RNU6-216P	snRNA	74968189	74968292
ENSG00000264218	CHR_HSCHR6_MHC_DBB_CTG1	RF00019	misc_RNA	29747847	29747948
ENSG00000240718	7	RN7SL851P	misc_RNA	6047721	6048023
ENSG00000276132	CHR_HSCHR15_4_CTG8	RF00201	snoRNA	29375114	29375225
ENSG00000200496	11	RF00096	snoRNA	123301390	123301523
ENSG00000201758	1	RN7SKP55	misc_RNA	244943910	244944216
ENSG00000200422	X	RF00279	snoRNA	87146733	87146804
ENSG00000199471	1	RF00019	misc_RNA	202914880	202914980
ENSG00000263815	17	RN7SL426P	misc_RNA	21229334	21229628
ENSG00000274164	17	RNA5SP439	rRNA_pseudogene	36491199	36491322
ENSG00000275337	20	RN7SL680P	misc_RNA	39349094	39349392
ENSG00000252031	2	RNU6-561P	snRNA	79636862	79636963
ENSG00000200013	17	RNU6-623P	snRNA	60662333	60662437
ENSG00000207457	22	RNU6-476P	snRNA	41679711	41679817
ENSG00000278115	CHR_HSCHR15_4_CTG8	RF00017	misc_RNA	32682415	32682705
ENSG00000201569	14	SNORD114-17	snoRNA	100974806	100974880
ENSG00000272533	14	SNORA28	snoRNA	103337849	103337974
ENSG00000199698	21	RF00019	misc_RNA	23432181	23432282
ENSG00000200487	10	RNA5SP322	rRNA_pseudogene	86052448	86052566
ENSG00000223294	12	RF00137	snoRNA	64575665	64575741
ENSG00000207391	5	RF00019	misc_RNA	79534853	79534954
ENSG00000281245	CHR_HG2030_PATCH	STKLD1	protein_coding	133376515	133406244
ENSG00000206686	5	RNU6-1036P	snRNA	181007281	181007384
ENSG00000281699	CHR_HG2030_PATCH	AL772161.2	processed_pseudogene	133339138	133339613
ENSG00000252863	12	RNU6-1183P	snRNA	101871742	101871801
ENSG00000212260	5	RNU6-724P	snRNA	69530613	69530717
ENSG00000251953	Y	RNA5SP522	rRNA_pseudogene	18346123	18346238
ENSG00000264389	CHR_HSCHR6_MHC_QBL_CTG1	RF00003	snRNA	32485042	32485188
ENSG00000223273	12	RN7SKP172	misc_RNA	76315751	76316048
ENSG00000201671	2	RNA5SP90	rRNA_pseudogene	31228312	31228410
ENSG00000222231	8	RNU2-54P	snRNA	76265543	76265732
ENSG00000206885	2	SNORA75	snoRNA	231455800	231455936
ENSG00000199483	9	RNU4-15P	snRNA	83596444	83596584
ENSG00000244425	22	RN7SL268P	misc_RNA	23879493	23879790
ENSG00000200189	7	RNU6-832P	snRNA	69125270	69125376
ENSG00000276788	11	SNORD26	snoRNA	62855292	62855366
ENSG00000199201	10	RF00019	misc_RNA	73192223	73192325
ENSG00000262656	CHR_HSCHR7_1_CTG6	RF00003	snRNA	141733992	141734156
ENSG00000282676	CHR_HSCHR12_1_CTG1	AC026369.8	protein_coding	70780	73513
ENSG00000252794	5	RN7SKP60	misc_RNA	165609441	165609679
ENSG00000207252	11	RF00019	misc_RNA	24455911	24456010
ENSG00000239153	11	RF01210	snoRNA	115627082	115627185
ENSG00000271922	3	RF01210	snoRNA	154329716	154329819
ENSG00000223128	20	RN7SKP140	misc_RNA	21424758	21425041
ENSG00000207098	21	RF00156	snoRNA	32841861	32841995
ENSG00000266381	CHR_HSCHR3_1_CTG1	RF00017	misc_RNA	11954709	11955006
ENSG00000252779	2	RNU6-182P	snRNA	171856566	171856670
ENSG00000274606	7	RF02190	misc_RNA	116959593	116959805
ENSG00000263426	6	RN7SL471P	misc_RNA	28977475	28977773
ENSG00000239908	9	RN7SL75P	misc_RNA	100102559	100102839
ENSG00000252257	3	RN7SKP265	misc_RNA	181968459	181968681
ENSG00000277777	21	RF00019	misc_RNA	5597390	5597490
ENSG00000207402	2	RNU6-959P	snRNA	191121950	191122056
ENSG00000265882	3	RN7SL73P	misc_RNA	195553792	195554043
ENSG00000243883	4	RN7SL419P	misc_RNA	153381729	153382015
ENSG00000222675	3	RNA5SP146	rRNA_pseudogene	157173918	157174040
ENSG00000252810	X	RNU6-345P	snRNA	101915589	101915695
ENSG00000274202	GL000216.2	RF00004	snRNA	93197	93309
ENSG00000239279	4	RN7SL184P	misc_RNA	113419840	113420136
ENSG00000199929	16	RNA5SP405	rRNA_pseudogene	26028912	26029025
ENSG00000222145	6	RF00045	snoRNA	88714242	88714430
ENSG00000206781	15	RF00019	misc_RNA	64445130	64445243
ENSG00000207202	X	RNU6-800P	snRNA	10582817	10582919
ENSG00000238410	2	RF01233	snoRNA	75489576	75489710
ENSG00000242696	2	RN7SL40P	misc_RNA	202357076	202357417
ENSG00000199363	3	SNORA63E	snoRNA	183453814	183453944
ENSG00000277996	CHR_HSCHR19LRC_LRC_S_CTG3_1	AC012314.39	protein_coding	54160649	54173691
ENSG00000206599	19	RNU6-841P	snRNA	49764524	49764630
ENSG00000266420	X	RN7SL118P	misc_RNA	119434519	119434820
ENSG00000206672	6	RF00019	misc_RNA	67625356	67625464
ENSG00000200673	7	RN7SKP174	misc_RNA	144849755	144850084
ENSG00000252999	14	RNA5SP380	rRNA_pseudogene	20090130	20090227
ENSG00000202257	1	RNA5S16	rRNA	228643809	228643927
ENSG00000223335	6	RNU6-603P	snRNA	32352877	32352983
ENSG00000200475	12	RN7SKP162	misc_RNA	13683542	13683886
ENSG00000222139	15	RNU6-380P	snRNA	80663772	80663878
ENSG00000200855	11	RF00019	misc_RNA	108084913	108085014
ENSG00000207375	15	SNORD116-23	snoRNA	25091786	25091877
ENSG00000252475	15	RNU6-1332P	snRNA	44962830	44962933
ENSG00000238788	2	RNU7-182P	snRNA	127017421	127017482
ENSG00000252474	14	RNU6-539P	snRNA	49839725	49839827
ENSG00000238964	16	RNU7-125P	snRNA	14643788	14643849
ENSG00000207450	8	RF00019	misc_RNA	47805079	47805179
ENSG00000201980	11	RF00091	snoRNA	4756645	4756797
ENSG00000200495	1	RNU6-1205P	snRNA	248912690	248912795
ENSG00000212224	20	RF00568	snoRNA	41712479	41712600
ENSG00000201523	6	RNA5SP205	rRNA_pseudogene	19438283	19438418
ENSG00000222329	19	RNU6-1076P	snRNA	223158	223261
ENSG00000271852	2	SNORD11B	snoRNA	202291332	202291421
ENSG00000274475	14	RN7SL650P	misc_RNA	21429508	21429806
ENSG00000201240	14	SNORD114-9	snoRNA	100966029	100966100
ENSG00000280963	CHR_HG1832_PATCH	SERTAD4-AS1	antisense	210231456	210234047
ENSG00000201618	X	RNA5SP505	rRNA_pseudogene	53909054	53909161
ENSG00000252734	19	RNU6-980P	snRNA	53732981	53733083
ENSG00000203436	4	RF00017	misc_RNA	9711953	9712233
ENSG00000264113	17	RN7SL784P	misc_RNA	4882975	4883316
ENSG00000206808	11	RF00019	misc_RNA	33171381	33171490
ENSG00000278237	5	RF02155	misc_RNA	76712763	76712861
ENSG00000275213	1	RF00017	misc_RNA	205684018	205684307
ENSG00000222293	9	RNU2-36P	snRNA	86422938	86423128
